Rsensor,Time
19.95,00:08:57.898809
19.95,00:08:57.988828
19.95,00:08:58.066696
19.95,00:08:58.160848
19.95,00:08:58.250713
19.95,00:08:58.345293
19.95,00:08:58.435534
19.95,00:08:58.513327
19.95,00:08:58.590920
19.95,00:08:58.668915
20.07,00:08:58.746943
20.2,00:08:58.824356
20.7,00:08:58.918947
28.21,00:08:59.008960
38.72,00:08:59.086548
46.15,00:08:59.180991
22.8,00:08:59.270993
22.21,00:08:59.349016
43.25,00:08:59.443031
45.15,00:08:59.533027
24.57,00:08:59.627038
42.36,00:08:59.717472
48.84,00:08:59.795208
23.42,00:08:59.889503
21.64,00:08:59.979506
22.06,00:09:00.057116
37.98,00:09:00.135119
28.21,00:09:00.225136
22.65,00:09:00.303145
21.92,00:09:00.381138
21.78,00:09:00.463148
21.64,00:09:00.549172
21.64,00:09:00.626590
21.78,00:09:00.704801
30.77,00:09:00.782039
41.5,00:09:00.860212
22.35,00:09:00.954211
21.23,00:09:01.043811
22.21,00:09:01.134606
41.5,00:09:01.212396
26.0,00:09:01.290406
22.5,00:09:01.368266
22.06,00:09:01.445696
34.05,00:09:01.540300
26.77,00:09:01.630312
21.64,00:09:01.724324
20.96,00:09:01.814335
21.23,00:09:01.892344
33.46,00:09:01.970570
33.75,00:09:02.060366
22.95,00:09:02.138383
22.21,00:09:02.215809
26.38,00:09:02.293806
42.8,00:09:02.387958
22.35,00:09:02.478585
20.96,00:09:02.572438
20.7,00:09:02.662585
20.96,00:09:02.740597
33.46,00:09:02.817874
40.67,00:09:02.846503
32.34,00:09:02.928483
37.63,00:09:03.018583
39.48,00:09:03.112924
22.35,00:09:03.202937
21.23,00:09:03.280934
20.96,00:09:03.358524
20.96,00:09:03.452956
20.7,00:09:03.542969
20.57,00:09:03.621037
20.45,00:09:03.714926
18.46,00:09:03.809434
18.25,00:09:03.915596
18.14,00:09:04.010027
18.14,00:09:04.100040
18.04,00:09:04.178050
18.04,00:09:04.272061
18.04,00:09:04.362075
18.04,00:09:04.440085
18.04,00:09:04.517526
18.04,00:09:04.612105
17.94,00:09:04.702119
18.04,00:09:04.780129
17.94,00:09:04.857718
17.94,00:09:04.935728
17.94,00:09:05.029310
18.04,00:09:05.119387
18.04,00:09:05.197454
18.04,00:09:05.275773
18.04,00:09:05.353784
18.04,00:09:05.447388
18.04,00:09:05.537466
18.04,00:09:05.619537
18.25,00:09:05.709614
18.25,00:09:05.803694
18.25,00:09:05.898276
18.25,00:09:05.988354
18.36,00:09:06.065920
18.36,00:09:06.143988
18.36,00:09:06.238317
18.36,00:09:06.328395
18.36,00:09:06.405962
18.25,00:09:06.483930
18.25,00:09:06.561998
18.25,00:09:06.655951
18.25,00:09:06.745964
18.25,00:09:06.823849
18.25,00:09:06.917930
18.25,00:09:07.012416
18.25,00:09:07.102429
18.25,00:09:07.180334
18.25,00:09:07.274466
18.25,00:09:07.352543
19.71,00:09:07.442475
19.59,00:09:07.520064
19.47,00:09:07.597928
19.47,00:09:07.675936
19.36,00:09:07.770095
19.47,00:09:07.860108
19.47,00:09:07.937734
19.47,00:09:08.032147
19.36,00:09:08.121994
19.47,00:09:08.200152
19.36,00:09:08.294164
19.47,00:09:08.384597
19.36,00:09:08.462186
19.47,00:09:08.540197
19.47,00:09:08.634207
19.47,00:09:08.724220
19.36,00:09:08.802230
19.36,00:09:08.880251
19.36,00:09:08.974251
19.47,00:09:09.056267
19.47,00:09:09.142286
19.47,00:09:09.235919
19.47,00:09:09.326718
19.47,00:09:09.420664
19.47,00:09:09.510769
19.36,00:09:09.605318
19.47,00:09:09.695378
19.47,00:09:09.773356
19.47,00:09:09.867220
19.47,00:09:09.957232
19.47,00:09:10.035422
19.36,00:09:10.112821
19.47,00:09:10.190830
19.47,00:09:10.284841
19.47,00:09:10.375434
19.47,00:09:10.469299
19.24,00:09:10.559310
19.01,00:09:10.653470
19.01,00:09:10.747901
19.01,00:09:10.829726
19.01,00:09:10.915924
19.01,00:09:10.993366
19.01,00:09:11.087945
19.01,00:09:11.177958
19.01,00:09:11.255549
19.01,00:09:11.333410
19.01,00:09:11.427569
19.01,00:09:11.518002
18.9,00:09:11.546586
19.01,00:09:11.628448
19.01,00:09:11.718460
19.01,00:09:11.812620
19.01,00:09:11.898521
19.71,00:09:11.980501
19.95,00:09:12.058512
19.95,00:09:12.152520
19.95,00:09:12.247096
19.95,00:09:12.337109
19.95,00:09:12.414557
20.07,00:09:12.505131
20.07,00:09:12.611578
20.07,00:09:12.689155
20.07,00:09:12.771164
19.95,00:09:12.865755
20.07,00:09:12.955785
20.07,00:09:13.057926
